id,outlet_id,date,category,score,finding,critical
1,1,2026-09-17,Food safety,88.0,Routine inspection completed,0
2,1,2026-09-17,Brand standards,91.0,Routine inspection completed,0
3,1,2026-09-17,Service quality,99.0,Routine inspection completed,0
4,2,2026-09-17,Food safety,93.0,Routine inspection completed,0
5,2,2026-09-17,Brand standards,81.0,Routine inspection completed,0
6,2,2026-09-17,Service quality,80.0,Routine inspection completed,0
7,3,2026-09-17,Food safety,87.0,Routine inspection completed,0
8,3,2026-09-17,Brand standards,93.0,Routine inspection completed,0
9,3,2026-09-17,Service quality,81.0,Routine inspection completed,0
10,4,2026-09-17,Food safety,89.0,Routine inspection completed,0
11,4,2026-09-17,Brand standards,78.0,Routine inspection completed,0
12,4,2026-09-17,Service quality,89.0,Routine inspection completed,0
13,5,2026-09-17,Food safety,48.0,Temperature log incomplete,1
14,5,2026-09-17,Brand standards,82.0,Routine inspection completed,0
15,5,2026-09-17,Service quality,89.0,Routine inspection completed,0
16,6,2026-09-17,Food safety,78.0,Routine inspection completed,0
17,6,2026-09-17,Brand standards,78.0,Routine inspection completed,0
18,6,2026-09-17,Service quality,87.0,Routine inspection completed,0
