id,outlet_id,product,quantity,reorder_level,lead_days,unit_cost,expiry_date
1,1,Rice (kg),128.0,48.0,3,55.0,2026-12-16
2,1,Vegetables (kg),192.0,72.0,3,40.0,2026-09-19
3,1,Cooking oil (L),64.0,24.0,3,130.0,2026-12-16
4,1,Packaging (units),1120.0,420.0,3,3.0,2026-12-16
5,2,Rice (kg),19.2,48.0,3,55.0,2026-12-16
6,2,Vegetables (kg),28.799999999999997,72.0,3,40.0,2026-09-19
7,2,Cooking oil (L),64.0,24.0,3,130.0,2026-12-16
8,2,Packaging (units),1120.0,420.0,3,3.0,2026-12-16
9,3,Rice (kg),128.0,48.0,3,55.0,2026-12-16
10,3,Vegetables (kg),192.0,72.0,3,40.0,2026-09-19
11,3,Cooking oil (L),64.0,24.0,3,130.0,2026-12-16
12,3,Packaging (units),1120.0,420.0,3,3.0,2026-12-16
13,4,Rice (kg),128.0,48.0,3,55.0,2026-12-16
14,4,Vegetables (kg),192.0,72.0,3,40.0,2026-09-19
15,4,Cooking oil (L),64.0,24.0,3,130.0,2026-12-16
16,4,Packaging (units),1120.0,420.0,3,3.0,2026-12-16
17,5,Rice (kg),19.2,48.0,3,55.0,2026-12-16
18,5,Vegetables (kg),28.799999999999997,72.0,3,40.0,2026-09-19
19,5,Cooking oil (L),64.0,24.0,3,130.0,2026-12-16
20,5,Packaging (units),1120.0,420.0,3,3.0,2026-12-16
21,6,Rice (kg),128.0,48.0,3,55.0,2026-12-16
22,6,Vegetables (kg),192.0,72.0,3,40.0,2026-09-19
23,6,Cooking oil (L),64.0,24.0,3,130.0,2026-12-16
24,6,Packaging (units),1120.0,420.0,3,3.0,2026-12-16
