inventory_id,date,used,wasted
1,2026-08-14,17.47,0.35
1,2026-08-15,17.11,0.34
1,2026-08-16,19.1,0.38
1,2026-08-17,13.43,0.27
1,2026-08-18,15.38,0.31
1,2026-08-19,14.97,0.3
1,2026-08-20,18.31,0.37
1,2026-08-21,14.39,0.29
1,2026-08-22,14.02,0.28
1,2026-08-23,15.67,0.31
1,2026-08-24,15.5,0.31
1,2026-08-25,14.58,0.29
1,2026-08-26,14.4,0.29
1,2026-08-27,18.71,0.37
1,2026-08-28,15.64,0.31
1,2026-08-29,18.31,0.37
1,2026-08-30,16.32,0.33
1,2026-08-31,13.12,0.26
1,2026-09-01,19.2,0.38
1,2026-09-02,18.15,0.36
1,2026-09-03,19.0,0.38
1,2026-09-04,18.73,0.37
1,2026-09-05,18.23,0.36
1,2026-09-06,13.86,0.28
1,2026-09-07,15.91,0.32
1,2026-09-08,14.17,0.28
1,2026-09-09,15.37,0.31
1,2026-09-10,13.18,0.26
1,2026-09-11,15.23,0.3
1,2026-09-12,19.11,0.38
1,2026-09-13,14.5,0.29
1,2026-09-14,17.82,0.36
1,2026-09-15,15.71,0.31
1,2026-09-16,15.51,0.31
1,2026-09-17,18.93,0.38
2,2026-08-14,28.76,0.58
2,2026-08-15,24.54,0.49
2,2026-08-16,26.1,0.52
2,2026-08-17,20.69,0.41
2,2026-08-18,22.05,0.44
2,2026-08-19,28.5,0.57
2,2026-08-20,24.76,0.5
2,2026-08-21,24.41,0.49
2,2026-08-22,26.38,0.53
2,2026-08-23,19.75,0.4
2,2026-08-24,24.81,0.5
2,2026-08-25,24.03,0.48
2,2026-08-26,27.39,0.55
2,2026-08-27,20.71,0.41
2,2026-08-28,28.42,0.57
2,2026-08-29,19.97,0.4
2,2026-08-30,20.98,0.42
2,2026-08-31,24.91,0.5
2,2026-09-01,25.68,0.51
2,2026-09-02,21.46,0.43
2,2026-09-03,20.35,0.41
2,2026-09-04,27.75,0.56
2,2026-09-05,21.56,0.43
2,2026-09-06,24.91,0.5
2,2026-09-07,25.15,0.5
2,2026-09-08,23.22,0.46
2,2026-09-09,24.8,0.5
2,2026-09-10,24.22,0.48
2,2026-09-11,28.17,0.56
2,2026-09-12,21.16,0.42
2,2026-09-13,26.08,0.52
2,2026-09-14,21.49,0.43
2,2026-09-15,23.0,0.46
2,2026-09-16,25.65,0.51
2,2026-09-17,22.08,0.44
3,2026-08-14,7.41,0.15
3,2026-08-15,8.81,0.18
3,2026-08-16,6.63,0.13
3,2026-08-17,7.87,0.16
3,2026-08-18,9.6,0.19
3,2026-08-19,9.59,0.19
3,2026-08-20,6.63,0.13
3,2026-08-21,7.08,0.14
3,2026-08-22,7.25,0.14
3,2026-08-23,9.39,0.19
3,2026-08-24,9.22,0.18
3,2026-08-25,9.21,0.18
3,2026-08-26,7.58,0.15
3,2026-08-27,6.9,0.14
3,2026-08-28,9.07,0.18
3,2026-08-29,8.65,0.17
3,2026-08-30,8.36,0.17
3,2026-08-31,9.56,0.19
3,2026-09-01,8.49,0.17
3,2026-09-02,6.43,0.13
3,2026-09-03,9.01,0.18
3,2026-09-04,7.36,0.15
3,2026-09-05,8.52,0.17
3,2026-09-06,9.4,0.19
3,2026-09-07,6.83,0.14
3,2026-09-08,6.77,0.14
3,2026-09-09,6.74,0.13
3,2026-09-10,8.17,0.16
3,2026-09-11,7.27,0.15
3,2026-09-12,8.34,0.17
3,2026-09-13,8.7,0.17
3,2026-09-14,7.05,0.14
3,2026-09-15,8.43,0.17
3,2026-09-16,7.24,0.14
3,2026-09-17,7.96,0.16
4,2026-08-14,162.7,3.25
4,2026-08-15,159.38,3.19
4,2026-08-16,117.17,2.34
4,2026-08-17,135.72,2.71
4,2026-08-18,127.49,2.55
4,2026-08-19,112.2,2.24
4,2026-08-20,155.18,3.1
4,2026-08-21,147.68,2.95
4,2026-08-22,126.67,2.53
4,2026-08-23,153.51,3.07
4,2026-08-24,142.89,2.86
4,2026-08-25,135.95,2.72
4,2026-08-26,112.54,2.25
4,2026-08-27,116.21,2.32
4,2026-08-28,161.45,3.23
4,2026-08-29,162.62,3.25
4,2026-08-30,142.55,2.85
4,2026-08-31,158.74,3.17
4,2026-09-01,144.62,2.89
4,2026-09-02,120.29,2.41
