id,outlet_id,name,role,scheduled_hours,worked_hours,orders,shift
1,1,Team member 1-1,Manager,40.0,40.0,90,14:00–22:00
2,1,Team member 1-2,Chef,40.0,40.0,92,09:00–17:00
3,1,Team member 1-3,Service,40.0,40.0,122,14:00–22:00
4,1,Team member 1-4,Service,40.0,40.0,73,09:00–17:00
5,1,Team member 1-5,Cashier,40.0,40.0,92,14:00–22:00
6,2,Team member 2-1,Manager,40.0,40.0,126,14:00–22:00
7,2,Team member 2-2,Chef,40.0,40.0,113,09:00–17:00
8,2,Team member 2-3,Service,40.0,40.0,93,14:00–22:00
9,2,Team member 2-4,Service,40.0,40.0,76,09:00–17:00
10,2,Team member 2-5,Cashier,40.0,40.0,102,14:00–22:00
11,3,Team member 3-1,Manager,40.0,40.0,122,14:00–22:00
12,3,Team member 3-2,Chef,40.0,40.0,84,09:00–17:00
13,3,Team member 3-3,Service,40.0,40.0,87,14:00–22:00
14,3,Team member 3-4,Service,40.0,40.0,75,09:00–17:00
15,3,Team member 3-5,Cashier,40.0,40.0,74,14:00–22:00
16,4,Team member 4-1,Manager,40.0,40.0,86,14:00–22:00
17,4,Team member 4-2,Chef,40.0,40.0,137,09:00–17:00
18,4,Team member 4-3,Service,40.0,40.0,81,14:00–22:00
19,4,Team member 4-4,Service,40.0,40.0,124,09:00–17:00
20,4,Team member 4-5,Cashier,40.0,40.0,135,14:00–22:00
21,5,Team member 5-1,Manager,40.0,29.0,88,14:00–22:00
22,5,Team member 5-2,Chef,40.0,29.0,110,09:00–17:00
23,5,Team member 5-3,Service,40.0,29.0,110,14:00–22:00
24,5,Team member 5-4,Service,40.0,29.0,114,09:00–17:00
25,5,Team member 5-5,Cashier,40.0,29.0,121,14:00–22:00
26,6,Team member 6-1,Manager,40.0,40.0,138,14:00–22:00
27,6,Team member 6-2,Chef,40.0,40.0,120,09:00–17:00
28,6,Team member 6-3,Service,40.0,40.0,137,14:00–22:00
29,6,Team member 6-4,Service,40.0,40.0,86,09:00–17:00
30,6,Team member 6-5,Cashier,40.0,40.0,98,14:00–22:00
